36.7 53.2 57813645
1.0 7.5 57829968
42.6 17.3 58147375
41.2 17.0 58154322
41.1 16.1 58156114
44.7 15.6 58156622
87.5 39.0 58168668
86.7 39.1 58170315
89.1 69.9 58177436
49.5 58.3 58251638
96.8 43.4 58265768
52.5 27.0 58329633
106.5 60.0 58493367
96.5 53.0 58539291
151.6 32.6 58552130
103.4 66.3 58606308
95.4 57.0 58654755
95.4 57.0 58654755
87.3 61.1 58683671
119.6 41.7 58700178
133.9 64.9 58757893
132.3 62.1 58762531
156.8 43.3 58768706
129.7 75.1 58774919
104.9 5.8 58793570
113.0 55.3 58999974
114.9 60.0 59009692
115.3 62.2 59011874
124.2 74.2 59042071
130.2 70.2 59045466
129.7 74.0 59048470
131.0 71.8 59048530
132.5 73.7 59058698
34.8 100.2 59099503
6.6 115.7 59129642
152.8 62.3 59140189
39.5 100.6 59162619
131.8 59.1 59167796
136.5 65.2 59225372
135.0 70.3 59226273
139.1 67.3 59249719
139.6 68.7 59276687
153.4 31.4 59282618
137.7 79.3 59290151
130.8 79.2 59299202
136.0 64.2 59307805
135.3 65.6 59307824
141.0 68.6 59312766
140.3 75.6 59340390
141.9 73.1 59343912
139.8 69.2 59361743
140.8 70.3 59361782
137.1 58.6 59376322
143.7 55.8 59383447
121.4 75.9 59399113
120.6 74.6 59399985
125.2 63.8 59420229
127.7 68.2 59451905
132.9 71.4 59464411
2.7 116.5 59472718
135.3 64.3 59474440
3.7 118.3 59501840
4.0 117.3 59503537
30.9 115.4 59506939
103.3 40.4 59537891
94.0 28.9 59576287
3.9 115.4 59598706
89.8 9.5 59624360
103.0 75.0 59624439
108.0 74.7 59629322
109.4 72.1 59631566
111.2 66.0 59680254
115.6 69.9 59682368
119.5 69.5 59682887
119.6 71.7 59683307
121.3 72.7 59684463
122.3 71.3 59689642
125.6 77.4 59702148
121.8 62.2 59723882
136.3 61.5 59756719
130.9 62.7 59760506
128.1 68.4 59765339
71.3 92.5 59769219
133.5 71.9 59773132
136.7 71.8 59779541
126.6 61.0 59789483
130.2 69.8 59805190
140.6 40.9 59832854
134.9 72.5 59842589
132.8 69.0 59843159
116.0 68.5 59882035
115.3 78.1 59894344
104.3 74.0 59906821
86.3 17.0 60108538
141.2 42.2 60279780
88.2 10.0 60286300
3.4 117.4 60508422
107.7 93.9 60563073
72.2 100.8 60811568
152.0 40.3 61128055
55.0 64.0 61136452
57.2 60.5 61142058
54.8 57.6 61143106
31.2 54.3 61278292
156.5 117.5 61317110
43.7 62.3 61390217
42.5 60.6 61390393
