42.6 17.3 58147375 2
41.2 17.0 58154322 3
41.1 16.1 58156114 4
44.7 15.6 58156622 5


124.2 74.2 59042071 28
130.2 70.2 59045466 29
129.7 74.0 59048470 30
132.5 73.7 59058698 32


124.2 74.2 59042071 28
130.2 70.2 59045466 29
131.0 71.8 59048530 31
132.5 73.7 59058698 32


139.6 68.7 59276687 41
137.7 79.3 59290151 43
130.8 79.2 59299202 44
136.0 64.2 59307805 45
141.0 68.6 59312766 47


139.6 68.7 59276687 41
137.7 79.3 59290151 43
130.8 79.2 59299202 44
135.3 65.6 59307824 46
141.0 68.6 59312766 47


139.6 68.7 59276687 41
137.7 79.3 59290151 43
130.8 79.2 59299202 44
141.0 68.6 59312766 47


139.6 68.7 59276687 41
137.7 79.3 59290151 43
136.0 64.2 59307805 45
141.0 68.6 59312766 47


139.6 68.7 59276687 41
137.7 79.3 59290151 43
135.3 65.6 59307824 46
141.0 68.6 59312766 47


140.3 75.6 59340390 48
141.9 73.1 59343912 49
139.8 69.2 59361743 50
137.1 58.6 59376322 52
143.7 55.8 59383447 53


140.3 75.6 59340390 48
141.9 73.1 59343912 49
140.8 70.3 59361782 51
137.1 58.6 59376322 52
143.7 55.8 59383447 53


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.5 69.5 59682887 73
121.3 72.7 59684463 75
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.5 69.5 59682887 73
121.3 72.7 59684463 75
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.5 69.5 59682887 73
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.5 69.5 59682887 73
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.6 71.7 59683307 74
121.3 72.7 59684463 75
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.6 71.7 59683307 74
121.3 72.7 59684463 75
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.6 71.7 59683307 74
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
119.6 71.7 59683307 74
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
121.3 72.7 59684463 75
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
121.3 72.7 59684463 75
125.6 77.4 59702148 77


111.2 66.0 59680254 71
115.6 69.9 59682368 72
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
119.5 69.5 59682887 73
121.3 72.7 59684463 75
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
119.5 69.5 59682887 73
121.3 72.7 59684463 75
125.6 77.4 59702148 77


111.2 66.0 59680254 71
119.5 69.5 59682887 73
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
119.6 71.7 59683307 74
121.3 72.7 59684463 75
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
119.6 71.7 59683307 74
121.3 72.7 59684463 75
125.6 77.4 59702148 77


111.2 66.0 59680254 71
119.6 71.7 59683307 74
122.3 71.3 59689642 76
125.6 77.4 59702148 77


111.2 66.0 59680254 71
121.3 72.7 59684463 75
122.3 71.3 59689642 76
125.6 77.4 59702148 77


136.3 61.5 59756719 79
130.9 62.7 59760506 80
128.1 68.4 59765339 81
133.5 71.9 59773132 83
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
130.9 62.7 59760506 80
128.1 68.4 59765339 81
133.5 71.9 59773132 83
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
130.9 62.7 59760506 80
128.1 68.4 59765339 81
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
130.9 62.7 59760506 80
133.5 71.9 59773132 83
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
130.9 62.7 59760506 80
133.5 71.9 59773132 83
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
130.9 62.7 59760506 80
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
128.1 68.4 59765339 81
133.5 71.9 59773132 83
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
128.1 68.4 59765339 81
133.5 71.9 59773132 83
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
128.1 68.4 59765339 81
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
133.5 71.9 59773132 83
136.7 71.8 59779541 84
126.6 61.0 59789483 85
130.2 69.8 59805190 86


136.3 61.5 59756719 79
133.5 71.9 59773132 83
126.6 61.0 59789483 85
130.2 69.8 59805190 86


